상호명,카테고리,업종,시도,구,latitude,longitude,도로명주소,전화번호,홈페이지,휴무일,오픈시간,주차여부,반려동물전용여부,입장가능종류,제한사항,color
연신내영재약국,반려의료,동물약국,서울특별시,은평구,37.61904783,126.922607,서울특별시 은평구 연서로 246,23828123,,,,N,해당없음,모두 가능,제한사항 없음,purple
연신우리약국,반려의료,동물약국,서울특별시,은평구,37.61811701,126.92164,서울특별시 은평구 통일로 839,23826229,,"매주 일요일, 법정공휴일","월~금 08:30~21:00, 토 08:30~17:00",N,해당없음,모두 가능,제한사항 없음,purple
연신종로약국,반려의료,동물약국,서울특별시,은평구,37.6203629,126.924955,서울특별시 은평구 연서로32길 3,23594341,,연중무휴,"월~금 09:00~21:30, 토 09:00~21:00, 일 09:00~21:00, 법정공휴일 09:00~21:00",N,해당없음,모두 가능,제한사항 없음,purple
연합약국,반려의료,동물약국,서울특별시,중구,37.56057849,126.98508,서울특별시 중구 퇴계로 120,25957882,,"매주 일요일, 법정공휴일","월~금 08:00~21:00, 토 08:00~18:00",Y,해당없음,모두 가능,제한사항 없음,purple
연희동물병원,반려의료,동물병원,서울특별시,서대문구,37.56909963,126.93208,서울특별시 서대문구 연희로25길 101,23322883,,"매주 토, 일",월~금 10:00~19:00,Y,해당없음,모두 가능,제한사항 없음,orange
연희위드팜약국,반려의료,동물약국,서울특별시,서대문구,37.56330368,126.943678,서울특별시 서대문구 성산로 521,23126949,,"매주 일요일, 법정공휴일","월~금 08:30~19:30, 토 09:00~14:00",N,해당없음,모두 가능,제한사항 없음,purple
열린동물약국,반려의료,동물약국,서울특별시,강동구,37.54714841,127.134118,서울특별시 강동구 상암로 104,24775756,,매주 일요일,"월~화, 목~금 09:00~18:30, 수 09:00~13:00, 토 09:00~14:00",Y,해당없음,모두 가능,제한사항 없음,purple
열린동물종합병원,반려의료,동물병원,서울특별시,용산구,37.53562585,126.961761,서울특별시 용산구 원효로 171,232730075,,매주 일요일,월~토 09:00~20:00,Y,해당없음,모두 가능,제한사항 없음,orange
열린약국,반려의료,동물약국,서울특별시,은평구,37.60200234,126.929594,서울특별시 은평구 은평로 197-2,23553464,,"매주 토, 일, 법정공휴일",월~금 09:00~18:00,N,해당없음,모두 가능,제한사항 없음,purple
열린약국,반려의료,동물약국,서울특별시,송파구,37.50355447,127.113823,서울특별시 송파구 가락로 166,24247048,https://blog.naver.com/simhb1990,"매주 일요일, 법정공휴일","월~금 09:00~20:00, 토 09:00~15:00",Y,해당없음,모두 가능,제한사항 없음,purple
